Density;Diameter;Radius;Largest L-eigenvalue ;AS Second largest Eigenvalue;AS Smallest Eigenvalue;Laplacian spectrum;Girth;Group Size;Domination number;Independence number;Chromatic index
0.08571;7;5;5.73078;2.73905;-2.73078;0.26095;5;1;10;15;4
0.08571;6;5;5.62699;2.85;-2.62699;0.2715;5;1;10;15;4
0.08571;7;5;5.72411;2.74251;-2.72411;0.25749;5;1;10;15;4
0.08571;6;5;5.71943;2.15;-2.71943;0.2685;5;1;10;15;4
0.08571;6;5;5.54933;2.71261;-2.544933;0.28739;5;1;10;15;4
0.08571;6;5;5.82;2.72609;-2.6982;0.27391;5;1;10;15;4
0.08571;6;5;5.39;2.73774;-2.7139;0.26226;5;1;10;15;4
0.08571;6;5;5.72205;2.72668;-2.72205;0.27332;5;1;10;15;4
0.08571;7;5;5.67972;2.74204;-2.67972;0.25796;5;1;10;15;4
0.08571;6;5;5.61003;2.72534;-2.61003;0.27466;5;1;10;15;4
0.08571;6;5;5.88;2.72567;-2.5688;0.27433;5;1;10;15;4
0.08571;6;5;5.58315;2.73534;-2.58315;0.26466;5;1;10;15;4
0.08571;7;5;5.61022;2.74086;-2.61022;0.25914;5;1;10;15;4
0.08571;6;5;5.66976;2.73868;-2.66976;0.26132;5;1;10;15;4
0.08571;6;5;5.63246;2.73901;-2.63246;0.26099;5;1;10;15;4
0.08571;7;5;5.54;2.73922;-2.6754;0.26078;5;1;10;15;4
0.08571;6;5;5.60856;2.73492;-2.60856;0.26508;5;1;10;15;4
0.08571;7;5;5.75321;2.86;-2.75321;0.2614;5;1;10;15;4
0.08571;7;5;5.67031;2.74064;-2.67031;0.25936;5;1;10;15;4
0.08571;7;5;5.63325;2.99;-2.63325;0.2601;5;1;10;15;4
0.08571;6;5;5.73607;2.73949;-2.73607;0.26051;5;1;10;15;4
0.08571;6;5;5.67176;2.73759;-2.67176;0.26241;5;1;10;15;4
0.08571;6;5;5.71613;2.73585;-2.71613;0.26415;5;1;10;15;4
0.08571;6;5;5.62175;2.73801;-2.62175;0.26199;5;1;10;15;4
0.08571;6;5;5.54794;2.49;-2.54794;0.2651;5;1;10;15;4
0.08571;6;5;5.60882;2.73145;-2.60882;0.26855;5;1;10;15;4
0.08571;6;5;5.74054;2.73531;-2.74054;0.26469;5;1;10;16;4
0.08571;7;5;5.63032;2.64;-2.63032;0.2636;5;1;10;15;4
0.08571;7;5;5.57292;2.73745;-2.57292;0.26255;5;1;10;15;4
0.08571;6;5;5.64203;2.65;-2.64203;0.2635;5;1;10;15;4
0.08571;6;5;5.61526;2.73499;-2.61526;0.26501;5;1;10;15;4
0.08571;7;5;5.64589;2.73834;-2.64589;0.26166;5;1;10;15;4
0.08571;6;5;5.71478;2.73426;-2.71478;0.26574;5;1;10;15;4
0.08571;6;4;5.56554;2.73278;-2.56554;0.26722;5;1;10;15;4
0.08571;6;5;5.71493;2.73136;-2.71493;0.26864;5;1;10;16;4
0.08571;6;5;5.69465;2.73172;-2.69465;0.26828;5;1;10;15;4
0.08571;6;5;5.69093;2.73021;-2.69093;0.26979;5;1;10;16;4
0.08571;6;5;5.71685;2.72769;-2.71685;0.27231;5;1;10;16;4
0.08571;6;5;5.59188;2.71252;-2.59188;0.28748;5;1;10;15;4
0.08571;6;5;5.64464;2.73195;-2.64464;0.26805;5;1;10;15;4
0.08571;7;5;5.62332;2.74257;-2.62332;0.25743;5;1;10;15;4
0.08571;6;5;5.66222;2.74295;-2.66222;0.25705;5;1;10;15;4
0.08571;6;4;5.61733;2.75557;-2.61733;0.24443;5;1;10;15;4
0.08571;7;5;5.61234;2.42;-2.61234;0.2558;5;1;10;15;4
0.08571;7;5;5.65045;2.74525;-2.65045;0.25475;5;1;10;15;4
0.08571;6;5;5.68298;2.734;-2.68298;0.266;5;1;10;15;4
0.08571;6;4;5.67771;2.72958;-2.67771;0.27042;5;1;10;16;4
0.08571;6;4;5.689;2.08;-2.689;0.2692;5;1;10;16;4
0.08571;6;4;5.61322;2.73121;-2.61322;0.26879;5;1;10;15;4
0.08571;6;4;5.65288;2.73303;-2.65288;0.26697;5;1;10;15;4
0.08571;6;5;5.62712;2.73012;-2.62712;0.26988;5;1;10;15;4
0.08571;7;5;5.63274;2.73137;-2.63274;0.26863;5;1;10;15;4
0.08571;7;5;5.67118;2.16;-2.67118;0.2684;5;1;10;15;4
0.08571;6;5;5.66267;2.70305;-2.66267;0.29695;5;1;10;15;4
0.08571;6;5;5.66526;2.73016;-2.66526;0.26984;5;1;10;15;4
0.08571;7;5;5.64727;2.73319;-2.64727;0.26681;5;1;10;15;4
0.08571;7;4;5.66527;2.73414;-2.66527;0.26586;5;1;10;15;4
0.08571;7;5;5.66501;2.73075;-2.66501;0.26925;5;1;10;15;4
0.08571;6;5;5.66;2.72615;-2.6966;0.27385;5;1;10;15;4
0.08571;7;5;5.45;2.75728;-2.7045;0.24272;5;1;10;16;4
0.08571;6;5;5.70049;2.72752;-2.70049;0.27248;5;1;10;15;4
0.08571;6;5;5.63872;2.71529;-2.63872;0.28471;5;1;10;15;4
0.08571;6;5;5.57734;2.73748;-2.57734;0.26252;5;1;10;15;4
0.08571;6;5;5.64844;2.72304;-2.64844;0.27696;5;1;10;15;4
0.08571;6;5;5.62277;2.73248;-2.62277;0.26752;5;1;10;15;4
0.08571;6;5;5.59236;2.71573;-2.59236;0.28427;5;1;10;15;4
0.08571;6;5;5.57077;2.73756;-2.57077;0.26244;5;1;10;15;4
0.08571;7;5;5.63002;2.72301;-2.63002;0.27699;5;1;10;15;4
0.08571;6;5;5.61088;2.73267;-2.61088;0.26733;5;1;10;15;4
0.08571;6;5;5.68236;2.74091;-2.68236;0.25909;5;1;10;15;4
0.086;7;6;5.414;2.762;-2.414;0.238;5;1;10;15;4
